name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
yuan-ti-nightmare-speaker,https://www.aidedd.org/dnd/monstres.php?vo=yuan-ti-nightmare-speaker,4,"monstrosity (shapechanger, yuan-ti)",Medium,14,71,,neutral evil,,Volo's Guide to Monsters,16.0,14.0,13.0,14.0,12.0,16.0
archer,,3,humanoid (any race),Medium,16,75,,any alignment,,Volo's Guide to Monsters,,,,,,
firenewt-warlock-of-imix,,1,humanoid (firenewt),Medium,10,33,,neutral evil,,Volo's Guide to Monsters,,,,,,
clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9,construct,Large,14,133,,unaligned,,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0
androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17,monstrosity,Large,17,199,fly,lawful neutral,Legendary,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0
magmin,https://www.aidedd.org/dnd/monstres.php?vo=magmin,1/2,elemental,Small,14,9,,chaotic neutral,,Monster Manual (SRD),7.0,15.0,12.0,8.0,11.0,10.0
giant-poisonous-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-poisonous-snake,1/4,beast,Medium,14,11,swim,unaligned,,Monster Manual (SRD),10.0,18.0,13.0,2.0,10.0,3.0
crokek-toeck,,14,fiend (demon),Gargantuan,15,297,swim,chaotic evil,,Adventures (Descent into Avernus),,,,,,
spellcaster-healer-lvl-2,,0,humanoid (any race),Medium,12,13,,any alignment,,Essentials Kit,,,,,,
olhydra,,18,elemental,Huge,18,324,swim,neutral evil,,Adventures (Princes of the Apocalypse),,,,,,
carrion-crawler,,2,monstrosity,Large,13,51,,unaligned,,Monster Manual,,,,,,
sahuagin-baron,,5,humanoid (sahuagin),Large,16,76,swim,lawful evil,,Monster Manual,,,,,,
night-blade,,1/4,humanoid (human),Medium,12,11,,chaotic evil,,Adventures (Descent into Avernus),,,,,,
duergar-warlord,,6,humanoid (dwarf),Medium,20,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
grimlock,https://www.aidedd.org/dnd/monstres.php?vo=grimlock,1/4,humanoid (grimlock),Medium,11,11,,neutral evil,,Monster Manual (SRD),16.0,12.0,12.0,9.0,8.0,6.0
sea-hag,https://www.aidedd.org/dnd/monstres.php?vo=sea-hag,2,fey,Medium,14,52,swim,chaotic evil,,Monster Manual (SRD),16.0,13.0,16.0,12.0,12.0,13.0
ambush-drake,,1/2,dragon,Medium,13,22,,unaligned,,Adventures (Tyranny of Dragons),,,,,,
githyanki-gish,,10,humanoid (gith),Medium,17,123,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14,dragon,Huge,19,195,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0
displacer-beast,,3,monstrosity,Large,13,85,,lawful evil,,Monster Manual,,,,,,
cranium-rat,,0,beast,Tiny,12,2,,lawful evil,,Volo's Guide to Monsters,,,,,,
wraith,https://www.aidedd.org/dnd/monstres.php?vo=wraith,5,undead,Medium,13,67,fly,neutral evil,,Monster Manual (SRD),6.0,16.0,16.0,12.0,14.0,15.0
spirit-troll,,11,giant,Large,17,97,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2,elemental,Medium,17,39,,lawful neutral,,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0
cockatrice,https://www.aidedd.org/dnd/monstres.php?vo=cockatrice,1/2,monstrosity,Small,11,27,fly,unaligned,,Monster Manual (SRD),6.0,12.0,12.0,2.0,13.0,5.0
druid,https://www.aidedd.org/dnd/monstres.php?vo=druid,2,humanoid (any race),Medium,11,27,,any alignment,,Monster Manual (SRD),10.0,12.0,13.0,12.0,15.0,11.0
ogre-bolt-launcher,,2,giant,Large,13,59,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
hyena,https://www.aidedd.org/dnd/monstres.php?vo=hyena,0,beast,Medium,11,5,,unaligned,,Monster Manual (SRD),11.0,13.0,12.0,2.0,12.0,5.0
warrior-lvl-1,,0,humanoid (any race),Medium,16,13,,any alignment,,Essentials Kit,,,,,,
vampire,https://www.aidedd.org/dnd/monstres.php?vo=vampire,13,undead (shapechanger),Medium,16,144,,lawful evil,Legendary,Monster Manual (SRD),18.0,18.0,18.0,17.0,15.0,18.0
scout,https://www.aidedd.org/dnd/monstres.php?vo=scout,1/2,humanoid (any race),Medium,13,16,,any alignment,,Monster Manual (SRD),11.0,14.0,12.0,11.0,13.0,11.0
red-abishai,,19,fiend (devil),Medium,22,255,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
chasme,,6,fiend (demon),Large,15,84,fly,chaotic evil,,Monster Manual,,,,,,
giant-constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=giant-constrictor-snake,2,beast,Huge,12,60,swim,unaligned,,Monster Manual (SRD),19.0,14.0,12.0,1.0,10.0,3.0
spellcaster-healer-lvl-5,,0,humanoid (any race),Medium,12,27,,any alignment,,Essentials Kit,,,,,,
giant-ape,https://www.aidedd.org/dnd/monstres.php?vo=giant-ape,7,beast,Huge,12,157,,unaligned,,Monster Manual (SRD),23.0,14.0,18.0,7.0,12.0,7.0
tri-flower-frond,,1/2,plant,Medium,10,11,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
apprentice-wizard,,1/4,humanoid (any race),Medium,10,9,,any alignment,,Volo's Guide to Monsters,,,,,,
giant-eagle,https://www.aidedd.org/dnd/monstres.php?vo=giant-eagle,1,beast,Large,13,26,fly,neutral good,,Monster Manual (SRD),16.0,17.0,13.0,8.0,14.0,10.0
stone-cursed,,1,construct,Medium,17,19,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
storm-giant-quintessent,,16,giant (storm giant),Huge,12,230,"fly, swim",chaotic good,,Volo's Guide to Monsters,,,,,,
derro,,1/4,humanoid (derro),Small,13,13,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
dust-mephit,https://www.aidedd.org/dnd/monstres.php?vo=dust-mephit,1/2,elemental,Small,12,17,fly,neutral evil,,Monster Manual (SRD),5.0,14.0,10.0,9.0,11.0,10.0
constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=constrictor-snake,1/4,beast,Large,12,13,swim,unaligned,,Monster Manual (SRD),15.0,14.0,12.0,1.0,10.0,3.0
vampire-spawn,https://www.aidedd.org/dnd/monstres.php?vo=vampire-spawn,5,undead,Medium,15,82,,neutral evil,,Monster Manual (SRD),16.0,16.0,16.0,11.0,10.0,12.0
water-weird,https://www.aidedd.org/dnd/monstres.php?vo=water-weird,3,elemental,Large,13,58,swim,neutral,,Monster Manual (BR),17.0,16.0,13.0,11.0,10.0,10.0
mezzoloth,https://www.aidedd.org/dnd/monstres.php?vo=mezzoloth,5,fiend (yugoloth),Medium,18,75,,neutral evil,,Monster Manual (BR),18.0,11.0,16.0,7.0,10.0,11.0
cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8,aberration,Large,14,78,fly,chaotic neutral,,Monster Manual (SRD),17.0,15.0,12.0,13.0,12.0,14.0
hobgoblin-warlord,,6,humanoid (goblinoid),Medium,20,97,,lawful evil,,Monster Manual,,,,,,
goblin,https://www.aidedd.org/dnd/monstres.php?vo=goblin,1/4,humanoid (goblinoid),Small,15,7,,neutral evil,,Monster Manual (SRD),8.0,14.0,10.0,10.0,8.0,8.0
ettin,https://www.aidedd.org/dnd/monstres.php?vo=ettin,4,giant,Large,12,85,,chaotic evil,,Monster Manual (SRD),21.0,8.0,17.0,6.0,10.0,8.0
bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5,monstrosity,Large,17,94,,unaligned,,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0
morkoth,,11,aberration,Medium,17,130,swim,chaotic evil,,Volo's Guide to Monsters,,,,,,
drow-shadowblade,,11,humanoid (elf),Medium,17,150,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,
ogremoch,,20,elemental,Gargantuan,20,526,,neutral evil,,Adventures (Princes of the Apocalypse),,,,,,
sibriex,https://www.aidedd.org/dnd/monstres.php?vo=sibriex,18,fiend (demon),Huge,19,150,fly,chaotic evil,Legendary,Mordenkainen's Tome of Foes,10.0,3.0,23.0,25.0,24.0,25.0
gynosphinx,https://www.aidedd.org/dnd/monstres.php?vo=gynosphinx,11,monstrosity,Large,17,136,fly,lawful neutral,Legendary,Monster Manual (SRD),18.0,15.0,16.0,18.0,18.0,18.0
stone-juggernaut,,12,construct,Large,15,157,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
ice-toad,,1,monstrosity,Medium,12,32,swim,neutral,,Adventures (Tyranny of Dragons),,,,,,
triceratops,https://www.aidedd.org/dnd/monstres.php?vo=triceratops,5,beast,Huge,13,95,,unaligned,,Monster Manual (SRD),22.0,9.0,17.0,2.0,11.0,5.0
grick-alpha,,7,monstrosity,Large,18,75,,neutral,,Monster Manual,,,,,,
arcanaloth,,12,fiend (yugoloth),Medium,17,104,fly,neutral evil,,Monster Manual,,,,,,
hellwasp,,5,fiend,Large,19,52,fly,lawful evil,,Adventures (Descent into Avernus),,,,,,
hobgoblin-iron-shadow,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin-iron-shadow,2,humanoid (goblinoid),Medium,15,32,,lawful evil,,Volo's Guide to Monsters,14.0,16.0,15.0,14.0,15.0,11.0
assassin-vine,,3,plant,Large,13,85,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
priest,https://www.aidedd.org/dnd/monstres.php?vo=priest,2,humanoid (any race),Medium,13,27,,any alignment,,Monster Manual (SRD),10.0,10.0,12.0,13.0,16.0,13.0
adult-blue-dracolich,,17,undead,Huge,19,225,fly,lawful evil,Legendary,Monster Manual,,,,,,
water-elemental-myrmidon,,7,elemental,Medium,18,127,swim,neutral,,Mordenkainen's Tome of Foes,,,,,,
white-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=white-dragon-wyrmling,2,dragon,Medium,16,32,"fly, swim",chaotic evil,,Monster Manual (SRD),14.0,10.0,14.0,5.0,10.0,11.0
guard-drake,,2,dragon,Medium,14,52,,unaligned,,Volo's Guide to Monsters,,,,,,
moloch,https://www.aidedd.org/dnd/monstres.php?vo=moloch,21,fiend (devil),Large,19,253,,lawful evil,Legendary,Mordenkainen's Tome of Foes,26.0,19.0,22.0,21.0,18.0,23.0
werewolf,https://www.aidedd.org/dnd/monstres.php?vo=werewolf,3,"humanoid (human, shapechanger)",Medium,11,58,,chaotic evil,,Monster Manual (SRD),15.0,13.0,14.0,10.0,11.0,10.0
orcus,https://www.aidedd.org/dnd/monstres.php?vo=orcus,26,fiend (demon),Huge,17,405,fly,chaotic evil,Legendary,Mordenkainen's Tome of Foes,27.0,14.0,25.0,20.0,20.0,25.0
bulezau,,3,fiend (demon),Medium,14,52,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
peryton,https://www.aidedd.org/dnd/monstres.php?vo=peryton,2,monstrosity,Medium,13,33,fly,chaotic evil,,Monster Manual (BR),16.0,12.0,13.0,9.0,12.0,10.0
hobgoblin,https://www.aidedd.org/dnd/monstres.php?vo=hobgoblin,1/2,humanoid (goblinoid),Medium,18,11,,lawful evil,,Monster Manual (SRD),13.0,12.0,12.0,10.0,10.0,9.0
lemure,https://www.aidedd.org/dnd/monstres.php?vo=lemure,0,fiend (devil),Medium,7,13,,lawful evil,,Monster Manual (SRD),10.0,5.0,11.0,1.0,11.0,3.0
pentadrone,,2,construct,Large,16,32,,lawful neutral,,Monster Manual,,,,,,
aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2,beast,Large,11,38,,unaligned,,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0
frost-salamander,,9,elemental,Huge,17,168,,unaligned,,Mordenkainen's Tome of Foes,,,,,,
behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11,monstrosity,Huge,17,168,,neutral evil,,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0
nightmare,https://www.aidedd.org/dnd/monstres.php?vo=nightmare,3,fiend,Large,13,68,fly,neutral evil,,Monster Manual (SRD),18.0,15.0,16.0,10.0,13.0,15.0
lizardfolk-shaman,https://www.aidedd.org/dnd/monstres.php?vo=lizardfolk-shaman,2,humanoid (lizardfolk),Medium,13,27,swim,neutral,,Monster Manual (BR),15.0,10.0,13.0,10.0,15.0,8.0
eblis,,1,monstrosity,Large,13,26,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,
bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2,humanoid (any race),Medium,15,65,,any non-lawful alignment,,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0
crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0,undead,Tiny,12,2,,neutral evil,,Monster Manual (BR),13.0,14.0,11.0,5.0,10.0,4.0
korred,,7,fey,Small,17,102,,chaotic neutral,,Volo's Guide to Monsters,,,,,,
will-o--wisp,https://www.aidedd.org/dnd/monstres.php?vo=will-o--wisp,2,undead,Tiny,19,22,fly,chaotic evil,,Monster Manual (SRD),1.0,28.0,10.0,13.0,14.0,11.0
dryad,https://www.aidedd.org/dnd/monstres.php?vo=dryad,1,fey,Medium,11,22,,neutral,,Monster Manual (SRD),10.0,12.0,11.0,14.0,15.0,18.0
ochre-jelly,https://www.aidedd.org/dnd/monstres.php?vo=ochre-jelly,2,ooze,Large,8,45,,unaligned,,Monster Manual (SRD),15.0,6.0,14.0,2.0,6.0,1.0
storm-giant,https://www.aidedd.org/dnd/monstres.php?vo=storm-giant,13,giant,Huge,16,230,swim,chaotic good,,Monster Manual (SRD),29.0,14.0,20.0,16.0,18.0,18.0
giant-crocodile,https://www.aidedd.org/dnd/monstres.php?vo=giant-crocodile,5,beast,Huge,14,85,swim,unaligned,,Monster Manual (SRD),21.0,9.0,17.0,2.0,10.0,7.0
giant-weasel,https://www.aidedd.org/dnd/monstres.php?vo=giant-weasel,1/8,beast,Medium,13,9,,unaligned,,Monster Manual (SRD),11.0,16.0,10.0,4.0,12.0,5.0
yuan-ti-mind-whisperer,,4,"monstrosity (shapechanger, yuan-ti)",Medium,14,71,,neutral evil,,Volo's Guide to Monsters,,,,,,
yellow-musk-creeper,,2,plant,Medium,6,60,,unaligned,,Adventures (Tomb of Annihilation),,,,,,
vrock,https://www.aidedd.org/dnd/monstres.php?vo=vrock,6,fiend (demon),Large,15,104,fly,chaotic evil,,Monster Manual (SRD),17.0,15.0,18.0,8.0,13.0,8.0
night-hag,https://www.aidedd.org/dnd/monstres.php?vo=night-hag,5,fiend,Medium,17,112,,neutral evil,,Monster Manual (SRD),18.0,15.0,16.0,16.0,14.0,16.0
devourer,,13,fiend,Large,16,178,,chaotic evil,,Volo's Guide to Monsters,,,,,,
ogre-howdah,,2,giant,Large,13,59,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
spider,https://www.aidedd.org/dnd/monstres.php?vo=spider,0,beast,Tiny,12,1,,unaligned,,Monster Manual (SRD),2.0,14.0,8.0,1.0,10.0,2.0
white-abishai,,6,fiend (devil),Medium,15,68,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,
intellect-devourer,,2,aberration,Tiny,12,21,,lawful evil,,Monster Manual,,,,,,
giant-scorpion,https://www.aidedd.org/dnd/monstres.php?vo=giant-scorpion,3,beast,Large,15,52,,unaligned,,Monster Manual (SRD),15.0,13.0,15.0,1.0,9.0,3.0
piercer,https://www.aidedd.org/dnd/monstres.php?vo=piercer,1/2,monstrosity,Medium,15,22,,unaligned,,Monster Manual (BR),10.0,13.0,16.0,1.0,7.0,3.0
bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,1/4,humanoid (bullywug),Medium,15,11,swim,neutral evil,,Monster Manual (BR),12.0,12.0,13.0,7.0,10.0,7.0
black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,1/2,beast,Medium,11,19,,unaligned,,Monster Manual (SRD),15.0,10.0,14.0,2.0,12.0,7.0
flameskull,https://www.aidedd.org/dnd/monstres.php?vo=flameskull,4,undead,Tiny,13,40,fly,neutral evil,,Monster Manual (SRD),1.0,17.0,14.0,16.0,10.0,11.0
yuan-ti-pit-master,,5,"monstrosity (shapechanger, yuan-ti)",Medium,14,88,,neutral evil,,Volo's Guide to Monsters,,,,,,
winter-eladrin,,10,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,
nothic,https://www.aidedd.org/dnd/monstres.php?vo=nothic,2,aberration,Medium,15,45,,neutral evil,,Monster Manual,14.0,16.0,16.0,13.0,10.0,8.0
su-monster,,1,monstrosity,Medium,12,27,,chaotic evil,,Adventures (Tomb of Annihilation),,,,,,
bard,,2,humanoid (any race),Medium,15,44,,any alignment,,Volo's Guide to Monsters,,,,,,
gloom-weaver,,9,humanoid (elf),Medium,14,104,,neutral,,Mordenkainen's Tome of Foes,,,,,,
mummy,https://www.aidedd.org/dnd/monstres.php?vo=mummy,3,undead,Medium,11,58,,lawful evil,,Monster Manual (SRD),16.0,8.0,15.0,6.0,10.0,12.0
maw-demon,,1,fiend (demon),Medium,13,33,,chaotic evil,,Volo's Guide to Monsters,,,,,,
ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3,beast,Huge,15,68,,unaligned,,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0
maurezhi,,7,fiend (demon),Medium,15,88,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,
wood-woad,,5,plant,Medium,18,75,,lawful neutral,,Volo's Guide to Monsters,,,,,,
xvart,,1/8,humanoid (xvart),Small,13,7,,chaotic evil,,Volo's Guide to Monsters,,,,,,
